region	quality	n	total	percent
ABCA13	high: >33	128	128	100
ABCG8	high: >33	128	128	100
ACOT1	high: >33	128	128	100
ACTA2	high: >33	128	128	100
ADAM2	high: >33	128	128	100
ADAM22	high: >33	128	128	100
ADAMTSL5	high: >33	122	122	100
ADGRG7	high: >33	128	128	100
ADK	very low: <= 17	2	128	1.5625
ADK	high: >33	126	128	98.4375
AHNAK	high: >33	128	128	100
AIP	high: >33	128	128	100
ALDH18A1	high: >33	128	128	100
ALG1L2	high: >33	128	128	100
AMY1A	very low: <= 17	19	62	30.6451612903226
AMY1A	mid: >23, <=33	2	62	3.2258064516129
AMY1A	high: >33	41	62	66.1290322580645
ANKFN1	high: >33	128	128	100
ANKRD30A	very low: <= 17	10	84	11.9047619047619
ANKRD30A	low: >17, <= 23	1	84	1.19047619047619
ANKRD30A	mid: >23, <=33	8	84	9.52380952380952
ANKRD30A	high: >33	65	84	77.3809523809524
ANKRD30B	very low: <= 17	1	128	0.78125
ANKRD30B	low: >17, <= 23	1	128	0.78125
ANKRD30B	mid: >23, <=33	1	128	0.78125
ANKRD30B	high: >33	125	128	97.65625
ANKRD36C	high: >33	116	116	100
ANKRD7	high: >33	128	128	100
ANKS1B	high: >33	128	128	100
ANO5	high: >33	128	128	100
APOBEC3A	mid: >23, <=33	18	126	14.2857142857143
APOBEC3A	high: >33	108	126	85.7142857142857
ARF1	mid: >23, <=33	3	128	2.34375
ARF1	high: >33	125	128	97.65625
ARHGEF35	high: >33	22	22	100
ATF6	high: >33	128	128	100
ATP1B1	high: >33	128	128	100
B3GNTL1	low: >17, <= 23	8	122	6.55737704918033
B3GNTL1	mid: >23, <=33	7	122	5.73770491803279
B3GNTL1	high: >33	107	122	87.7049180327869
BCAS1	high: >33	128	128	100
BCAS3	high: >33	128	128	100
BICD1	high: >33	128	128	100
BMPR2	very low: <= 17	1	128	0.78125
BMPR2	mid: >23, <=33	1	128	0.78125
BMPR2	high: >33	126	128	98.4375
BRINP3	high: >33	128	128	100
BTBD9	high: >33	128	128	100
BTNL3	very low: <= 17	4	94	4.25531914893617
BTNL3	low: >17, <= 23	22	94	23.4042553191489
BTNL3	mid: >23, <=33	8	94	8.51063829787234
BTNL3	high: >33	60	94	63.8297872340426
C1QTNF3	very low: <= 17	68	128	53.125
C1QTNF3	mid: >23, <=33	1	128	0.78125
C1QTNF3	high: >33	59	128	46.09375
C2orf78	very low: <= 17	6	128	4.6875
C2orf78	low: >17, <= 23	13	128	10.15625
C2orf78	mid: >23, <=33	4	128	3.125
C2orf78	high: >33	105	128	82.03125
C4A	high: >33	128	128	100
CACNA1C	high: >33	128	128	100
CAPN8	mid: >23, <=33	9	128	7.03125
CAPN8	high: >33	119	128	92.96875
CARD18	high: >33	128	128	100
CATSPER2	very low: <= 17	2	128	1.5625
CATSPER2	mid: >23, <=33	4	128	3.125
CATSPER2	high: >33	122	128	95.3125
CBX2	high: >33	128	128	100
CCDC200	very low: <= 17	47	72	65.2777777777778
CCDC200	low: >17, <= 23	5	72	6.94444444444445
CCDC200	mid: >23, <=33	1	72	1.38888888888889
CCDC200	high: >33	19	72	26.3888888888889
CCDC40	high: >33	128	128	100
CCDC66	mid: >23, <=33	10	128	7.8125
CCDC66	high: >33	118	128	92.1875
CCM2L	high: >33	126	126	100
CCSER1	very low: <= 17	31	128	24.21875
CCSER1	high: >33	97	128	75.78125
CDH13	very low: <= 17	1	128	0.78125
CDH13	high: >33	127	128	99.21875
CDK11A	low: >17, <= 23	5	128	3.90625
CDK11A	mid: >23, <=33	10	128	7.8125
CDK11A	high: >33	113	128	88.28125
CDK20	very low: <= 17	7	124	5.64516129032258
CDK20	low: >17, <= 23	3	124	2.41935483870968
CDK20	high: >33	114	124	91.9354838709677
CDRT15	high: >33	128	128	100
CELA3B	high: >33	128	128	100
CENPC	very low: <= 17	2	128	1.5625
CENPC	high: >33	126	128	98.4375
CFHR1	very low: <= 17	1	128	0.78125
CFHR1	high: >33	127	128	99.21875
CHD5	high: >33	126	126	100
CHST5	mid: >23, <=33	3	128	2.34375
CHST5	high: >33	125	128	97.65625
CHTF18	high: >33	128	128	100
CLEC18A	very low: <= 17	5	128	3.90625
CLEC18A	low: >17, <= 23	3	128	2.34375
CLEC18A	mid: >23, <=33	3	128	2.34375
CLEC18A	high: >33	117	128	91.40625
CLEC18B	very low: <= 17	22	128	17.1875
CLEC18B	low: >17, <= 23	1	128	0.78125
CLEC18B	mid: >23, <=33	3	128	2.34375
CLEC18B	high: >33	102	128	79.6875
CLHC1	high: >33	126	126	100
CLSTN1	high: >33	128	128	100
CNTNAP5	high: >33	128	128	100
COMMD10	high: >33	128	128	100
CPNE4	high: >33	128	128	100
CPPED1	high: >33	128	128	100
CR1	very low: <= 17	1	128	0.78125
CR1	high: >33	127	128	99.21875
CSMD1	high: >33	128	128	100
CTAGE6	high: >33	52	52	100
CTDSPL2	high: >33	128	128	100
CTNNA1	high: >33	128	128	100
CTRB1	high: >33	64	64	100
CWF19L2	high: >33	128	128	100
CYP2A6	low: >17, <= 23	1	128	0.78125
CYP2A6	mid: >23, <=33	1	128	0.78125
CYP2A6	high: >33	126	128	98.4375
CYP2D7	mid: >23, <=33	1	126	0.793650793650794
CYP2D7	high: >33	125	126	99.2063492063492
CYP2E1	low: >17, <= 23	2	98	2.04081632653061
CYP2E1	mid: >23, <=33	2	98	2.04081632653061
CYP2E1	high: >33	94	98	95.9183673469388
CYP4F12	high: >33	128	128	100
DAPL1	high: >33	128	128	100
DENND4C	high: >33	128	128	100
DHRS4L2	very low: <= 17	1	128	0.78125
DHRS4L2	low: >17, <= 23	7	128	5.46875
DHRS4L2	mid: >23, <=33	17	128	13.28125
DHRS4L2	high: >33	103	128	80.46875
DMBT1	very low: <= 17	3	128	2.34375
DMBT1	low: >17, <= 23	7	128	5.46875
DMBT1	mid: >23, <=33	11	128	8.59375
DMBT1	high: >33	107	128	83.59375
DNAH6	high: >33	128	128	100
DOCK8	high: >33	128	128	100
DPP10	high: >33	126	126	100
DPP6	high: >33	128	128	100
ENSG	mid: >23, <=33	6	72	8.33333333333333
ENSG	high: >33	66	72	91.6666666666667
FAM47E	high: >33	128	128	100
FBLN2	high: >33	128	128	100
FBXO22	high: >33	128	128	100
FCGBP	very low: <= 17	1	128	0.78125
FCGBP	mid: >23, <=33	16	128	12.5
FCGBP	high: >33	111	128	86.71875
FHIT	high: >33	128	128	100
FOXO3	high: >33	128	128	100
GALNTL6	high: >33	128	128	100
GDAP1	high: >33	128	128	100
GEN1	high: >33	128	128	100
GNAI1	high: >33	128	128	100
GOLGA6D	very low: <= 17	58	126	46.031746031746
GOLGA6D	mid: >23, <=33	1	126	0.793650793650794
GOLGA6D	high: >33	67	126	53.1746031746032
GOLGA6L10	very low: <= 17	52	106	49.0566037735849
GOLGA6L10	low: >17, <= 23	7	106	6.60377358490566
GOLGA6L10	high: >33	47	106	44.3396226415094
GOLGA6L4	very low: <= 17	75	108	69.4444444444445
GOLGA6L4	mid: >23, <=33	6	108	5.55555555555556
GOLGA6L4	high: >33	27	108	25
GOLGA8A	very low: <= 17	4	128	3.125
GOLGA8A	low: >17, <= 23	5	128	3.90625
GOLGA8A	high: >33	119	128	92.96875
GPR141	high: >33	128	128	100
GPR42	high: >33	128	128	100
GRID1	high: >33	128	128	100
GRK1	high: >33	124	124	100
GSTM1	very low: <= 17	1	128	0.78125
GSTM1	mid: >23, <=33	18	128	14.0625
GSTM1	high: >33	109	128	85.15625
HEATR6	high: >33	98	98	100
HHAT	high: >33	128	128	100
HILPDA	high: >33	128	128	100
HLA-A	low: >17, <= 23	2	128	1.5625
HLA-A	mid: >23, <=33	5	128	3.90625
HLA-A	high: >33	121	128	94.53125
HLA-DQA1	very low: <= 17	3	128	2.34375
HLA-DQA1	low: >17, <= 23	8	128	6.25
HLA-DQA1	mid: >23, <=33	17	128	13.28125
HLA-DQA1	high: >33	100	128	78.125
HPSE2	high: >33	128	128	100
HTR1F	high: >33	128	128	100
HTR2A	high: >33	128	128	100
IFT43	high: >33	128	128	100
IQCJ	very low: <= 17	1	128	0.78125
IQCJ	high: >33	127	128	99.21875
KANK1	high: >33	126	126	100
KATNAL2	very low: <= 17	65	118	55.0847457627119
KATNAL2	mid: >23, <=33	1	118	0.847457627118644
KATNAL2	high: >33	52	118	44.0677966101695
KIAA1586	high: >33	128	128	100
KIF9	high: >33	128	128	100
KIR2DL1	very low: <= 17	12	128	9.375
KIR2DL1	low: >17, <= 23	36	128	28.125
KIR2DL1	mid: >23, <=33	15	128	11.71875
KIR2DL1	high: >33	65	128	50.78125
KLRC1	high: >33	128	128	100
LCE1D	high: >33	126	126	100
LILRA6	very low: <= 17	40	122	32.7868852459016
LILRA6	low: >17, <= 23	3	122	2.45901639344262
LILRA6	mid: >23, <=33	1	122	0.819672131147541
LILRA6	high: >33	78	122	63.9344262295082
LPA	very low: <= 17	71	128	55.46875
LPA	low: >17, <= 23	7	128	5.46875
LPA	mid: >23, <=33	7	128	5.46875
LPA	high: >33	43	128	33.59375
LRBA	high: >33	128	128	100
LRRC40	high: >33	128	128	100
LRRTM4	high: >33	128	128	100
MACROD2	high: >33	128	128	100
MAGI2	high: >33	128	128	100
MAP3K2	high: >33	126	126	100
MAPK8IP3	very low: <= 17	2	128	1.5625
MAPK8IP3	high: >33	126	128	98.4375
MB21D2	high: >33	128	128	100
MBD3L2	very low: <= 17	7	108	6.48148148148148
MBD3L2	low: >17, <= 23	5	108	4.62962962962963
MBD3L2	mid: >23, <=33	8	108	7.40740740740741
MBD3L2	high: >33	88	108	81.4814814814815
MEI4	very low: <= 17	3	126	2.38095238095238
MEI4	high: >33	123	126	97.6190476190476
MGAM	mid: >23, <=33	5	128	3.90625
MGAM	high: >33	123	128	96.09375
MGAT4C	very low: <= 17	7	128	5.46875
MGAT4C	high: >33	121	128	94.53125
MICA	mid: >23, <=33	5	128	3.90625
MICA	high: >33	123	128	96.09375
MLXIPL	mid: >23, <=33	1	128	0.78125
MLXIPL	high: >33	127	128	99.21875
MRGPRX1	very low: <= 17	2	128	1.5625
MRGPRX1	mid: >23, <=33	22	128	17.1875
MRGPRX1	high: >33	104	128	81.25
MSR1	high: >33	128	128	100
MTX1	mid: >23, <=33	1	128	0.78125
MTX1	high: >33	127	128	99.21875
MYL3	high: >33	128	128	100
MYOM2	very low: <= 17	1	108	0.925925925925926
MYOM2	low: >17, <= 23	1	108	0.925925925925926
MYOM2	mid: >23, <=33	1	108	0.925925925925926
MYOM2	high: >33	105	108	97.2222222222222
NBPF3	high: >33	128	128	100
NCKAP5	high: >33	128	128	100
NEB	high: >33	128	128	100
NECAB2	mid: >23, <=33	2	128	1.5625
NECAB2	high: >33	126	128	98.4375
NELL1	high: >33	128	128	100
NELL2	high: >33	128	128	100
NNT	mid: >23, <=33	1	128	0.78125
NNT	high: >33	127	128	99.21875
NPSR1	low: >17, <= 23	35	128	27.34375
NPSR1	mid: >23, <=33	24	128	18.75
NPSR1	high: >33	69	128	53.90625
NR5A2	high: >33	128	128	100
NRG1	high: >33	128	128	100
NRXN1	high: >33	128	128	100
NUDT9	very low: <= 17	1	128	0.78125
NUDT9	high: >33	127	128	99.21875
NUTM2A	high: >33	114	114	100
NUTM2G	high: >33	128	128	100
NXPH1	high: >33	128	128	100
OR1A1	mid: >23, <=33	5	126	3.96825396825397
OR1A1	high: >33	121	126	96.031746031746
OR2G6	high: >33	120	120	100
OR2J2	high: >33	128	128	100
OR2L2	low: >17, <= 23	3	128	2.34375
OR2L2	mid: >23, <=33	24	128	18.75
OR2L2	high: >33	101	128	78.90625
OR4C11	very low: <= 17	2	128	1.5625
OR4C11	mid: >23, <=33	5	128	3.90625
OR4C11	high: >33	121	128	94.53125
OR52N1	very low: <= 17	1	128	0.78125
OR52N1	high: >33	127	128	99.21875
OR5P2	very low: <= 17	24	128	18.75
OR5P2	low: >17, <= 23	1	128	0.78125
OR5P2	high: >33	103	128	80.46875
PACSIN1	high: >33	128	128	100
PATJ	high: >33	128	128	100
PCDHA1	very low: <= 17	2	128	1.5625
PCDHA1	high: >33	126	128	98.4375
PCLO	high: >33	128	128	100
PDGFRL	high: >33	128	128	100
PDPK1	mid: >23, <=33	1	126	0.793650793650794
PDPK1	high: >33	125	126	99.2063492063492
PGA4	very low: <= 17	5	128	3.90625
PGA4	mid: >23, <=33	6	128	4.6875
PGA4	high: >33	117	128	91.40625
PGR	high: >33	128	128	100
PHACTR1	high: >33	128	128	100
PLA2G4F	high: >33	126	126	100
PLGRKT	high: >33	128	128	100
POLR2J2	very low: <= 17	18	124	14.5161290322581
POLR2J2	low: >17, <= 23	5	124	4.03225806451613
POLR2J2	mid: >23, <=33	14	124	11.2903225806452
POLR2J2	high: >33	87	124	70.1612903225807
POTEA	low: >17, <= 23	1	128	0.78125
POTEA	mid: >23, <=33	2	128	1.5625
POTEA	high: >33	125	128	97.65625
POTEH	very low: <= 17	14	120	11.6666666666667
POTEH	low: >17, <= 23	5	120	4.16666666666667
POTEH	mid: >23, <=33	49	120	40.8333333333333
POTEH	high: >33	52	120	43.3333333333333
PRB1	very low: <= 17	3	128	2.34375
PRB1	mid: >23, <=33	23	128	17.96875
PRB1	high: >33	102	128	79.6875
