region	quality	n	total	percent
A4GALT	very low: <= 17	1	74	1.35135135135135
A4GALT	mid: >23, <=33	2	74	2.7027027027027
A4GALT	high: >33	71	74	95.9459459459459
ABCG8	high: >33	74	74	100
ABO	high: >33	58	58	100
ABR	low: >17, <= 23	3	78	3.84615384615385
ABR	high: >33	75	78	96.1538461538462
AFP	mid: >23, <=33	1	40	2.5
AFP	high: >33	39	40	97.5
AGL	high: >33	72	72	100
AGRN	high: >33	76	76	100
ALOXE3	mid: >23, <=33	2	78	2.56410256410256
ALOXE3	high: >33	76	78	97.4358974358974
ANKRD11	high: >33	78	78	100
ANO7	high: >33	72	72	100
APOBEC1	mid: >23, <=33	13	78	16.6666666666667
APOBEC1	high: >33	65	78	83.3333333333333
APOBEC3H	mid: >23, <=33	6	72	8.33333333333333
APOBEC3H	high: >33	66	72	91.6666666666667
APOC1	high: >33	78	78	100
ARHGEF10	high: >33	78	78	100
AXIN1	high: >33	76	76	100
B3GAT3	mid: >23, <=33	3	28	10.7142857142857
B3GAT3	high: >33	25	28	89.2857142857143
BAX	mid: >23, <=33	7	74	9.45945945945946
BAX	high: >33	67	74	90.5405405405405
BFSP2	mid: >23, <=33	3	62	4.83870967741936
BFSP2	high: >33	59	62	95.1612903225807
BLOC1S3	very low: <= 17	19	78	24.3589743589744
BLOC1S3	mid: >23, <=33	2	78	2.56410256410256
BLOC1S3	high: >33	57	78	73.0769230769231
BRAF	high: >33	78	78	100
BSG	very low: <= 17	2	68	2.94117647058824
BSG	low: >17, <= 23	2	68	2.94117647058824
BSG	mid: >23, <=33	1	68	1.47058823529412
BSG	high: >33	63	68	92.6470588235294
BTRC	high: >33	78	78	100
C3	high: >33	78	78	100
CALR3	mid: >23, <=33	1	60	1.66666666666667
CALR3	high: >33	59	60	98.3333333333333
CANT1	very low: <= 17	4	60	6.66666666666667
CANT1	low: >17, <= 23	8	60	13.3333333333333
CANT1	mid: >23, <=33	4	60	6.66666666666667
CANT1	high: >33	44	60	73.3333333333333
CASP10	high: >33	58	58	100
CBR3	mid: >23, <=33	15	64	23.4375
CBR3	high: >33	49	64	76.5625
CBS	very low: <= 17	7	78	8.97435897435897
CBS	mid: >23, <=33	4	78	5.12820512820513
CBS	high: >33	67	78	85.8974358974359
CD247	high: >33	78	78	100
CD4	high: >33	78	78	100
CDH15	mid: >23, <=33	8	54	14.8148148148148
CDH15	high: >33	46	54	85.1851851851852
CDH17	high: >33	78	78	100
CFH	high: >33	78	78	100
CFHR4	very low: <= 17	1	78	1.28205128205128
CFHR4	high: >33	77	78	98.7179487179487
CFHR5	mid: >23, <=33	6	60	10
CFHR5	high: >33	54	60	90
CHL1	high: >33	78	78	100
CHRNA4	low: >17, <= 23	1	36	2.77777777777778
CHRNA4	mid: >23, <=33	2	36	5.55555555555556
CHRNA4	high: >33	33	36	91.6666666666667
CLCN7	high: >33	72	72	100
CNR2	mid: >23, <=33	5	76	6.57894736842105
CNR2	high: >33	71	76	93.421052631579
COL18A1	mid: >23, <=33	4	76	5.26315789473684
COL18A1	high: >33	72	76	94.7368421052632
COL6A1	very low: <= 17	4	52	7.69230769230769
COL6A1	low: >17, <= 23	10	52	19.2307692307692
COL6A1	mid: >23, <=33	4	52	7.69230769230769
COL6A1	high: >33	34	52	65.3846153846154
COX14	mid: >23, <=33	11	40	27.5
COX14	high: >33	29	40	72.5
COX6B1	high: >33	54	54	100
CREB3L3	mid: >23, <=33	1	78	1.28205128205128
CREB3L3	high: >33	77	78	98.7179487179487
CTDP1	low: >17, <= 23	3	74	4.05405405405405
CTDP1	mid: >23, <=33	4	74	5.40540540540541
CTDP1	high: >33	67	74	90.5405405405405
CYB5R3	mid: >23, <=33	1	74	1.35135135135135
CYB5R3	high: >33	73	74	98.6486486486486
CYP2A13	low: >17, <= 23	4	78	5.12820512820513
CYP2A13	mid: >23, <=33	14	78	17.948717948718
CYP2A13	high: >33	60	78	76.9230769230769
CYP2A7	high: >33	76	76	100
