region	quality	n	total	percent
ABCA13	high: >33	128	128	100
ABCG8	high: >33	128	128	100
ACOT1	high: >33	128	128	100
ACTA2	high: >33	128	128	100
ADAM22	high: >33	128	128	100
ADAM2	high: >33	128	128	100
ADAMTSL5	high: >33	122	122	100
ADGRG7	high: >33	128	128	100
ADK	high: >33	126	128	98.4375
ADK	very low: <= 17	2	128	1.5625
AHNAK	high: >33	128	128	100
AIP	high: >33	128	128	100
ALDH18A1	high: >33	128	128	100
ALG1L2	high: >33	128	128	100
AMY1A	high: >33	57	62	91.9354838709677
AMY1A	very low: <= 17	5	62	8.06451612903226
ANKFN1	high: >33	128	128	100
ANKRD30A	high: >33	82	84	97.6190476190476
ANKRD30A	very low: <= 17	2	84	2.38095238095238
ANKRD30B	high: >33	124	128	96.875
ANKRD30B	low: >17, <= 23	1	128	0.78125
ANKRD30B	mid: >23, <=33	2	128	1.5625
ANKRD30B	very low: <= 17	1	128	0.78125
ANKRD36C	high: >33	116	116	100
ANKRD7	high: >33	128	128	100
ANKS1B	high: >33	128	128	100
ANO5	high: >33	128	128	100
APOBEC3A	high: >33	126	126	100
ARF1	high: >33	126	128	98.4375
ARF1	mid: >23, <=33	2	128	1.5625
ARHGEF35	high: >33	22	22	100
ATF6	high: >33	128	128	100
ATP1B1	high: >33	128	128	100
B3GNTL1	high: >33	117	122	95.9016393442623
B3GNTL1	mid: >23, <=33	5	122	4.0983606557377
BCAS1	high: >33	128	128	100
BCAS3	high: >33	128	128	100
BICD1	high: >33	128	128	100
BMPR2	high: >33	126	128	98.4375
BMPR2	mid: >23, <=33	1	128	0.78125
BMPR2	very low: <= 17	1	128	0.78125
BRINP3	high: >33	128	128	100
BTBD9	high: >33	128	128	100
BTNL3	high: >33	90	94	95.7446808510638
BTNL3	low: >17, <= 23	2	94	2.12765957446809
BTNL3	mid: >23, <=33	1	94	1.06382978723404
BTNL3	very low: <= 17	1	94	1.06382978723404
C1QTNF3	high: >33	112	128	87.5
C1QTNF3	very low: <= 17	16	128	12.5
C2orf78	high: >33	118	128	92.1875
C2orf78	low: >17, <= 23	7	128	5.46875
C2orf78	mid: >23, <=33	2	128	1.5625
C2orf78	very low: <= 17	1	128	0.78125
C4A	high: >33	127	128	99.21875
C4A	very low: <= 17	1	128	0.78125
CACNA1C	high: >33	128	128	100
CAPN8	high: >33	124	128	96.875
CAPN8	mid: >23, <=33	4	128	3.125
CARD18	high: >33	128	128	100
CATSPER2	high: >33	125	128	97.65625
CATSPER2	mid: >23, <=33	1	128	0.78125
CATSPER2	very low: <= 17	2	128	1.5625
CBX2	high: >33	128	128	100
CCDC200	high: >33	18	70	25.7142857142857
CCDC200	low: >17, <= 23	4	70	5.71428571428571
CCDC200	mid: >23, <=33	3	70	4.28571428571429
CCDC200	very low: <= 17	45	70	64.2857142857143
CCDC40	high: >33	128	128	100
CCDC66	high: >33	122	128	95.3125
CCDC66	mid: >23, <=33	6	128	4.6875
CCM2L	high: >33	126	126	100
CCSER1	high: >33	128	128	100
CDH13	high: >33	128	128	100
CDK11A	high: >33	128	128	100
CDK20	high: >33	123	124	99.1935483870968
CDK20	low: >17, <= 23	1	124	0.806451612903226
CDRT15	high: >33	128	128	100
CELA3B	high: >33	128	128	100
CENPC	high: >33	125	128	97.65625
CENPC	mid: >23, <=33	1	128	0.78125
CENPC	very low: <= 17	2	128	1.5625
CFHR1	high: >33	127	128	99.21875
CFHR1	very low: <= 17	1	128	0.78125
CHD5	high: >33	125	126	99.2063492063492
CHD5	mid: >23, <=33	1	126	0.793650793650794
CHST5	high: >33	128	128	100
CHTF18	high: >33	128	128	100
CLEC18A	high: >33	123	128	96.09375
CLEC18A	mid: >23, <=33	1	128	0.78125
CLEC18A	very low: <= 17	4	128	3.125
CLEC18B	high: >33	123	128	96.09375
CLEC18B	mid: >23, <=33	1	128	0.78125
CLEC18B	very low: <= 17	4	128	3.125
CLHC1	high: >33	126	126	100
CLSTN1	high: >33	128	128	100
CNTNAP5	high: >33	128	128	100
COMMD10	high: >33	128	128	100
CPNE4	high: >33	128	128	100
CPPED1	high: >33	128	128	100
CR1	high: >33	128	128	100
CSMD1	high: >33	128	128	100
CTAGE6	high: >33	52	52	100
CTDSPL2	high: >33	128	128	100
CTNNA1	high: >33	128	128	100
CTRB1	high: >33	64	64	100
CWF19L2	high: >33	128	128	100
CYP2A6	high: >33	127	128	99.21875
CYP2A6	low: >17, <= 23	1	128	0.78125
CYP2D7	high: >33	125	126	99.2063492063492
CYP2D7	mid: >23, <=33	1	126	0.793650793650794
CYP2E1	high: >33	113	114	99.1228070175439
CYP2E1	very low: <= 17	1	114	0.87719298245614
CYP4F12	high: >33	128	128	100
DAPL1	high: >33	128	128	100
DENND4C	high: >33	128	128	100
DHRS4L2	high: >33	128	128	100
DMBT1	high: >33	128	128	100
DNAH6	high: >33	128	128	100
DOCK8	high: >33	126	128	98.4375
DOCK8	low: >17, <= 23	2	128	1.5625
DPP10	high: >33	126	126	100
DPP6	high: >33	128	128	100
ENSG	high: >33	72	72	100
FAM47E	high: >33	128	128	100
FBLN2	high: >33	128	128	100
FBXO22	high: >33	128	128	100
FCGBP	high: >33	128	128	100
FHIT	high: >33	128	128	100
FOXO3	high: >33	128	128	100
GALNTL6	high: >33	128	128	100
GDAP1	high: >33	128	128	100
GEN1	high: >33	128	128	100
GNAI1	high: >33	128	128	100
GOLGA6D	high: >33	116	126	92.0634920634921
GOLGA6D	very low: <= 17	10	126	7.93650793650794
GOLGA6L10	high: >33	99	106	93.3962264150943
GOLGA6L10	mid: >23, <=33	2	106	1.88679245283019
GOLGA6L10	very low: <= 17	5	106	4.71698113207547
GOLGA6L4	high: >33	87	108	80.5555555555556
GOLGA6L4	very low: <= 17	21	108	19.4444444444444
GOLGA8A	high: >33	127	128	99.21875
GOLGA8A	mid: >23, <=33	1	128	0.78125
GPR141	high: >33	126	126	100
GPR42	high: >33	120	120	100
GRID1	high: >33	128	128	100
GRK1	high: >33	122	124	98.3870967741936
GRK1	mid: >23, <=33	2	124	1.61290322580645
GSTM1	high: >33	127	128	99.21875
GSTM1	very low: <= 17	1	128	0.78125
HEATR6	high: >33	97	98	98.9795918367347
HEATR6	mid: >23, <=33	1	98	1.02040816326531
HHAT	high: >33	128	128	100
HILPDA	high: >33	128	128	100
HLA-A	high: >33	128	128	100
HLA-DQA1	high: >33	126	128	98.4375
HLA-DQA1	very low: <= 17	2	128	1.5625
HPSE2	high: >33	128	128	100
HTR1F	high: >33	128	128	100
HTR2A	high: >33	128	128	100
IFT43	high: >33	128	128	100
IQCJ	high: >33	128	128	100
KANK1	high: >33	125	126	99.2063492063492
KANK1	mid: >23, <=33	1	126	0.793650793650794
KATNAL2	high: >33	35	118	29.6610169491525
KATNAL2	low: >17, <= 23	1	118	0.847457627118644
KATNAL2	mid: >23, <=33	7	118	5.93220338983051
KATNAL2	very low: <= 17	75	118	63.5593220338983
KIAA1586	high: >33	128	128	100
KIF9	high: >33	126	128	98.4375
KIF9	mid: >23, <=33	2	128	1.5625
KIR2DL1	high: >33	128	128	100
KLRC1	high: >33	128	128	100
LCE1D	high: >33	126	126	100
LILRA6	high: >33	113	118	95.7627118644068
LILRA6	low: >17, <= 23	1	118	0.847457627118644
LILRA6	mid: >23, <=33	1	118	0.847457627118644
LILRA6	very low: <= 17	3	118	2.54237288135593
LPA	high: >33	39	128	30.46875
LPA	low: >17, <= 23	5	128	3.90625
LPA	mid: >23, <=33	6	128	4.6875
LPA	very low: <= 17	78	128	60.9375
LRBA	high: >33	128	128	100
LRRC40	high: >33	128	128	100
LRRTM4	high: >33	128	128	100
MACROD2	high: >33	128	128	100
MAGI2	high: >33	128	128	100
MAP3K2	high: >33	126	126	100
MAPK8IP3	high: >33	126	128	98.4375
MAPK8IP3	very low: <= 17	2	128	1.5625
MB21D2	high: >33	128	128	100
MBD3L2	high: >33	104	108	96.2962962962963
MBD3L2	low: >17, <= 23	1	108	0.925925925925926
MBD3L2	mid: >23, <=33	1	108	0.925925925925926
MBD3L2	very low: <= 17	2	108	1.85185185185185
MEI4	high: >33	126	126	100
MGAM	high: >33	128	128	100
MGAT4C	high: >33	126	128	98.4375
MGAT4C	very low: <= 17	2	128	1.5625
MICA	high: >33	126	128	98.4375
MICA	mid: >23, <=33	2	128	1.5625
MLXIPL	high: >33	125	128	97.65625
MLXIPL	mid: >23, <=33	3	128	2.34375
MRGPRX1	high: >33	128	128	100
MSR1	high: >33	128	128	100
MTX1	high: >33	120	128	93.75
MTX1	low: >17, <= 23	2	128	1.5625
MTX1	mid: >23, <=33	6	128	4.6875
MYL3	high: >33	128	128	100
MYOM2	high: >33	103	106	97.1698113207547
MYOM2	low: >17, <= 23	1	106	0.943396226415094
MYOM2	mid: >23, <=33	1	106	0.943396226415094
MYOM2	very low: <= 17	1	106	0.943396226415094
NBPF3	high: >33	128	128	100
NCKAP5	high: >33	128	128	100
NEB	high: >33	128	128	100
NECAB2	high: >33	126	128	98.4375
NECAB2	mid: >23, <=33	2	128	1.5625
NELL1	high: >33	128	128	100
NELL2	high: >33	128	128	100
NNT	high: >33	128	128	100
NPSR1	high: >33	128	128	100
NR5A2	high: >33	127	128	99.21875
NR5A2	very low: <= 17	1	128	0.78125
NRG1	high: >33	128	128	100
NRXN1	high: >33	127	128	99.21875
NRXN1	very low: <= 17	1	128	0.78125
NUDT9	high: >33	128	128	100
NUTM2A	high: >33	114	114	100
NUTM2G	high: >33	128	128	100
NXPH1	high: >33	128	128	100
OR1A1	high: >33	126	126	100
OR2G6	high: >33	120	120	100
OR2J2	high: >33	128	128	100
OR2L2	high: >33	125	126	99.2063492063492
OR2L2	mid: >23, <=33	1	126	0.793650793650794
OR4C11	high: >33	126	128	98.4375
OR4C11	very low: <= 17	2	128	1.5625
OR52N1	high: >33	127	128	99.21875
OR52N1	very low: <= 17	1	128	0.78125
OR5P2	high: >33	128	128	100
PACSIN1	high: >33	128	128	100
PATJ	high: >33	128	128	100
PCDHA1	high: >33	128	128	100
PCLO	high: >33	128	128	100
PDGFRL	high: >33	128	128	100
PDPK1	high: >33	126	126	100
PGA4	high: >33	122	128	95.3125
PGA4	mid: >23, <=33	2	128	1.5625
PGA4	very low: <= 17	4	128	3.125
PGR	high: >33	128	128	100
PHACTR1	high: >33	128	128	100
PLA2G4F	high: >33	126	126	100
PLGRKT	high: >33	128	128	100
POLR2J2	high: >33	116	124	93.5483870967742
POLR2J2	low: >17, <= 23	1	124	0.806451612903226
POLR2J2	mid: >23, <=33	2	124	1.61290322580645
POLR2J2	very low: <= 17	5	124	4.03225806451613
POTEA	high: >33	127	128	99.21875
POTEA	mid: >23, <=33	1	128	0.78125
POTEH	high: >33	56	120	46.6666666666667
POTEH	low: >17, <= 23	3	120	2.5
POTEH	mid: >23, <=33	50	120	41.6666666666667
POTEH	very low: <= 17	11	120	9.16666666666667
PRB1	high: >33	124	128	96.875
PRB1	mid: >23, <=33	4	128	3.125
PRH1	high: >33	128	128	100
PRKCH	high: >33	128	128	100
PRKG1	high: >33	128	128	100
PRKG2	high: >33	128	128	100
PRR20A	high: >33	65	120	54.1666666666667
PRR20A	low: >17, <= 23	15	120	12.5
PRR20A	mid: >23, <=33	2	120	1.66666666666667
PRR20A	very low: <= 17	38	120	31.6666666666667
PSD3	high: >33	118	118	100
PTGER3	high: >33	128	128	100
PTH2R	high: >33	128	128	100
PTK6	high: >33	117	124	94.3548387096774
PTK6	low: >17, <= 23	1	124	0.806451612903226
PTK6	mid: >23, <=33	5	124	4.03225806451613
PTK6	very low: <= 17	1	124	0.806451612903226
RABGEF1	high: >33	128	128	100
RAG1	high: >33	128	128	100
RBFOX3	high: >33	128	128	100
RCN1	high: >33	128	128	100
RGPD1	high: >33	127	128	99.21875
RGPD1	mid: >23, <=33	1	128	0.78125
RHCE	high: >33	126	126	100
RNASE1	high: >33	128	128	100
RNF150	high: >33	128	128	100
RNPEPL1	high: >33	125	126	99.2063492063492
RNPEPL1	low: >17, <= 23	1	126	0.793650793650794
ROBO1	high: >33	128	128	100
ROBO2	high: >33	128	128	100
RPL24	high: >33	128	128	100
RUNX1	high: >33	126	126	100
RYR1	high: >33	126	128	98.4375
RYR1	mid: >23, <=33	2	128	1.5625
SAMSN1	high: >33	126	126	100
SCAPER	high: >33	126	126	100
SCFD2	high: >33	128	128	100
SEPTIN9	high: >33	126	126	100
SESTD1	high: >33	128	128	100
SFMBT1	high: >33	127	128	99.21875
SFMBT1	mid: >23, <=33	1	128	0.78125
SGCD	high: >33	128	128	100
SHANK2	high: >33	128	128	100
SIGLEC14	high: >33	128	128	100
SIPA1L1	high: >33	128	128	100
SIRPB1	high: >33	128	128	100
SLC18A1	high: >33	128	128	100
SLC22A2	high: >33	125	128	97.65625
SLC22A2	mid: >23, <=33	3	128	2.34375
SLC2A14	high: >33	128	128	100
SLC35F4	high: >33	128	128	100
SLC39A11	high: >33	128	128	100
SLC4A4	high: >33	125	128	97.65625
SLC4A4	mid: >23, <=33	3	128	2.34375
SOCS5	high: >33	128	128	100
SPAG17	high: >33	128	128	100
SPATA31D4	high: >33	128	128	100
SPATA45	high: >33	128	128	100
SPATA5	high: >33	128	128	100
SSU72L2	high: >33	36	36	100
STOX1	high: >33	128	128	100
