region	quality	n	total	percent
A4GALT	very low: <= 17	1	74	1.35135135135135
A4GALT	mid: >23, <=33	1	74	1.35135135135135
A4GALT	high: >33	72	74	97.2972972972973
ABCG8	high: >33	74	74	100
ABO	high: >33	58	58	100
ABR	high: >33	78	78	100
AFP	high: >33	40	40	100
AGL	high: >33	72	72	100
AGRN	mid: >23, <=33	2	76	2.63157894736842
AGRN	high: >33	74	76	97.3684210526316
ALOXE3	mid: >23, <=33	1	78	1.28205128205128
ALOXE3	high: >33	77	78	98.7179487179487
ANKRD11	high: >33	78	78	100
ANO7	high: >33	72	72	100
APOBEC1	mid: >23, <=33	2	78	2.56410256410256
APOBEC1	high: >33	76	78	97.4358974358974
APOBEC3H	mid: >23, <=33	2	72	2.77777777777778
APOBEC3H	high: >33	70	72	97.2222222222222
APOC1	high: >33	78	78	100
ARHGEF10	high: >33	78	78	100
AXIN1	high: >33	76	76	100
B3GAT3	high: >33	28	28	100
BAX	mid: >23, <=33	2	74	2.7027027027027
BAX	high: >33	72	74	97.2972972972973
BFSP2	mid: >23, <=33	3	62	4.83870967741935
BFSP2	high: >33	59	62	95.1612903225807
BLOC1S3	very low: <= 17	1	78	1.28205128205128
BLOC1S3	mid: >23, <=33	3	78	3.84615384615385
BLOC1S3	high: >33	74	78	94.8717948717949
BRAF	high: >33	78	78	100
BSG	very low: <= 17	1	68	1.47058823529412
BSG	low: >17, <= 23	3	68	4.41176470588235
BSG	mid: >23, <=33	2	68	2.94117647058824
BSG	high: >33	62	68	91.1764705882353
BTRC	high: >33	78	78	100
C3	mid: >23, <=33	2	78	2.56410256410256
C3	high: >33	76	78	97.4358974358974
CALR3	high: >33	60	60	100
CANT1	very low: <= 17	2	60	3.33333333333333
CANT1	low: >17, <= 23	7	60	11.6666666666667
CANT1	mid: >23, <=33	3	60	5
CANT1	high: >33	48	60	80
CASP10	high: >33	58	58	100
CBR3	high: >33	64	64	100
CBS	high: >33	78	78	100
CD247	high: >33	78	78	100
CD4	mid: >23, <=33	1	78	1.28205128205128
CD4	high: >33	77	78	98.7179487179487
CDH15	mid: >23, <=33	3	54	5.55555555555556
CDH15	high: >33	51	54	94.4444444444444
CDH17	high: >33	78	78	100
CFH	high: >33	78	78	100
CFHR4	high: >33	78	78	100
CFHR5	mid: >23, <=33	2	60	3.33333333333333
CFHR5	high: >33	58	60	96.6666666666667
CHL1	high: >33	78	78	100
CHRNA4	low: >17, <= 23	2	36	5.55555555555556
CHRNA4	mid: >23, <=33	4	36	11.1111111111111
CHRNA4	high: >33	30	36	83.3333333333333
CLCN7	high: >33	72	72	100
CNR2	very low: <= 17	2	76	2.63157894736842
CNR2	mid: >23, <=33	5	76	6.57894736842105
CNR2	high: >33	69	76	90.7894736842105
COL18A1	mid: >23, <=33	4	76	5.26315789473684
COL18A1	high: >33	72	76	94.7368421052632
COL6A1	very low: <= 17	4	52	7.69230769230769
COL6A1	low: >17, <= 23	8	52	15.3846153846154
COL6A1	mid: >23, <=33	5	52	9.61538461538462
COL6A1	high: >33	35	52	67.3076923076923
COX14	mid: >23, <=33	2	40	5
COX14	high: >33	38	40	95
COX6B1	high: >33	54	54	100
CREB3L3	high: >33	78	78	100
CTDP1	high: >33	74	74	100
CYB5R3	mid: >23, <=33	1	74	1.35135135135135
CYB5R3	high: >33	73	74	98.6486486486486
CYP2A13	mid: >23, <=33	3	78	3.84615384615385
CYP2A13	high: >33	75	78	96.1538461538462
CYP2A7	high: >33	76	76	100
CYP2B6	high: >33	72	72	100
CYP2C18	high: >33	62	62	100
CYP2C19	high: >33	78	78	100
CYP2C8	high: >33	50	50	100
CYP2C9	high: >33	72	72	100
CYP2D6	mid: >23, <=33	1	74	1.35135135135135
CYP2D6	high: >33	73	74	98.6486486486486
CYP2E1	mid: >23, <=33	1	76	1.31578947368421
CYP2E1	high: >33	75	76	98.6842105263158
CYP2F1	high: >33	78	78	100
CYP2G1P	high: >33	76	76	100
CYP2J2	high: >33	32	32	100
CYP2R1	high: >33	30	30	100
CYP2S1	mid: >23, <=33	1	50	2
CYP2S1	high: >33	49	50	98
CYP2U1	mid: >23, <=33	1	54	1.85185185185185
CYP2U1	high: >33	53	54	98.1481481481482
CYP2W1	mid: >23, <=33	1	44	2.27272727272727
CYP2W1	high: >33	43	44	97.7272727272727
CYP4F12	very low: <= 17	1	70	1.42857142857143
CYP4F12	mid: >23, <=33	1	70	1.42857142857143
CYP4F12	high: >33	68	70	97.1428571428571
CYP4F3	high: >33	74	74	100
