region	quality	n	total	percent
A4GALT	mid: >23, <=33	2	72	2.77777777777778
A4GALT	high: >33	70	72	97.2222222222222
ABCG8	high: >33	72	72	100
ABO	high: >33	72	72	100
ABR	high: >33	56	56	100
AFP	high: >33	72	72	100
AGL	high: >33	72	72	100
AGRN	high: >33	72	72	100
ALOXE3	high: >33	72	72	100
ANKRD11	high: >33	72	72	100
ANO7	high: >33	72	72	100
APOBEC1	mid: >23, <=33	7	72	9.72222222222222
APOBEC1	high: >33	65	72	90.2777777777778
APOBEC3H	mid: >23, <=33	2	72	2.77777777777778
APOBEC3H	high: >33	70	72	97.2222222222222
APOC1	high: >33	72	72	100
ARHGEF10	high: >33	72	72	100
AXIN1	high: >33	70	70	100
B3GAT3	mid: >23, <=33	1	72	1.38888888888889
B3GAT3	high: >33	71	72	98.6111111111111
BAX	mid: >23, <=33	5	72	6.94444444444445
BAX	high: >33	67	72	93.0555555555556
BFSP2	high: >33	72	72	100
BLOC1S3	very low: <= 17	16	72	22.2222222222222
BLOC1S3	high: >33	56	72	77.7777777777778
BRAF	high: >33	72	72	100
BSG	low: >17, <= 23	1	72	1.38888888888889
BSG	mid: >23, <=33	10	72	13.8888888888889
BSG	high: >33	61	72	84.7222222222222
BTRC	high: >33	72	72	100
C3	high: >33	72	72	100
CALR3	mid: >23, <=33	3	72	4.16666666666667
CALR3	high: >33	69	72	95.8333333333333
CANT1	very low: <= 17	1	72	1.38888888888889
CANT1	low: >17, <= 23	4	72	5.55555555555556
CANT1	mid: >23, <=33	9	72	12.5
CANT1	high: >33	58	72	80.5555555555556
CASP10	high: >33	72	72	100
CBR3	mid: >23, <=33	13	72	18.0555555555556
CBR3	high: >33	59	72	81.9444444444445
CBS	very low: <= 17	5	72	6.94444444444445
CBS	low: >17, <= 23	1	72	1.38888888888889
CBS	mid: >23, <=33	4	72	5.55555555555556
CBS	high: >33	62	72	86.1111111111111
CD247	high: >33	72	72	100
CD4	high: >33	72	72	100
CDH15	mid: >23, <=33	4	72	5.55555555555556
CDH15	high: >33	68	72	94.4444444444444
CDH17	high: >33	72	72	100
CFH	high: >33	72	72	100
CFHR4	high: >33	72	72	100
CFHR5	mid: >23, <=33	3	72	4.16666666666667
CFHR5	high: >33	69	72	95.8333333333333
CHL1	high: >33	72	72	100
CHRNA4	mid: >23, <=33	2	72	2.77777777777778
CHRNA4	high: >33	70	72	97.2222222222222
CLCN7	high: >33	72	72	100
CNR2	mid: >23, <=33	4	72	5.55555555555556
CNR2	high: >33	68	72	94.4444444444444
COL18A1	mid: >23, <=33	2	72	2.77777777777778
COL18A1	high: >33	70	72	97.2222222222222
COL6A1	very low: <= 17	1	72	1.38888888888889
COL6A1	low: >17, <= 23	4	72	5.55555555555556
COL6A1	mid: >23, <=33	5	72	6.94444444444445
COL6A1	high: >33	62	72	86.1111111111111
COX14	mid: >23, <=33	26	72	36.1111111111111
COX14	high: >33	46	72	63.8888888888889
COX6B1	high: >33	72	72	100
CREB3L3	high: >33	72	72	100
CTDP1	low: >17, <= 23	1	72	1.38888888888889
CTDP1	mid: >23, <=33	6	72	8.33333333333333
CTDP1	high: >33	65	72	90.2777777777778
CYB5R3	high: >33	72	72	100
CYP2A13	mid: >23, <=33	13	72	18.0555555555556
CYP2A13	high: >33	59	72	81.9444444444445
CYP2A7	high: >33	72	72	100
CYP2B6	high: >33	72	72	100
CYP2C18	high: >33	72	72	100
CYP2C19	high: >33	72	72	100
CYP2C8	mid: >23, <=33	2	72	2.77777777777778
CYP2C8	high: >33	70	72	97.2222222222222
CYP2C9	high: >33	72	72	100
